shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Azul,41.61863, -4.77594,264
Azul,41.61853, -4.77627,265
Azul,41.61844, -4.77653,266
Azul,41.61806, -4.77763,267
Azul,41.61796, -4.77795,268
Azul,41.61794, -4.77798,269
Azul,41.61787, -4.77821,270
Azul,41.61787, -4.77823,271
Azul,41.61784, -4.7783,272
Azul,41.61781, -4.77842,273
Azul,41.6178, -4.77843,274
Azul,41.61778, -4.77852,275
Azul,41.61777, -4.77855,276
Azul,41.61777, -4.77857,277
Azul,41.61773, -4.77863,278
Azul,41.61772, -4.77865,279
Azul,41.61771, -4.77866,280
Azul,41.61759, -4.77882,281
Azul,41.61752, -4.77891,282
Azul,41.6175, -4.77893,283
Azul,41.61744, -4.77898,284
Azul,41.61739, -4.77903,285
Azul,41.61736, -4.77905,286
Azul,41.61717, -4.77922,287
Azul,41.61708, -4.77929,288
Azul,41.61686, -4.77947,289
Azul,41.61667, -4.77963,290
Azul,41.61603, -4.78017,291
Azul,41.61525, -4.78081,292
Azul,41.61433, -4.78158,293
Azul,41.61372, -4.78209,294
Azul,41.61293, -4.78277,295
Azul,41.61279, -4.78288,296
Azul,41.61262, -4.78303,297
Azul,41.6125, -4.78313,298
Azul,41.61242, -4.78322,299
Azul,41.61235, -4.7833,300
Azul,41.61227, -4.78341,301
Azul,41.61219, -4.78354,302
Azul,41.61216, -4.78359,303
Azul,41.61194, -4.78408,304
Azul,41.61184, -4.78432,305
Azul,41.61237, -4.78475,306
Azul,41.61238, -4.78475,307
Azul,41.61243, -4.78478,308
Azul,41.61245, -4.78478,309
Azul,41.61255, -4.78481,310
Azul,41.61258, -4.78482,311
Azul,41.61265, -4.78484,312
Azul,41.61274, -4.78485,313
Azul,41.61281, -4.78482,314
Azul,41.61286, -4.78479,315
Azul,41.61297, -4.78474,316
Azul,41.61298, -4.78473,317
Azul,41.61304, -4.78469,318
Azul,41.61335, -4.78535,319
Azul,41.61349, -4.78564,320
Azul,41.61332, -4.78579,321
Azul,41.61311, -4.78599,322
Azul,41.61305, -4.78606,323
Azul,41.61302, -4.78609,324
Azul,41.613, -4.78612,325
Azul,41.61289, -4.78636,326
Azul,41.61279, -4.78659,327
Azul,41.61278, -4.78662,328
Azul,41.6126, -4.787,329
Azul,41.61245, -4.78735,330
Azul,41.61245, -4.78736,331
Azul,41.61235, -4.7876,332
Azul,41.61225, -4.7878,333
Azul,41.61152, -4.78946,334
Azul,41.61142, -4.78968,335
Azul,41.61115, -4.79029,336
Azul,41.61097, -4.7907,337
Azul,41.61095, -4.79077,338
Azul,41.61094, -4.79082,339
